schemaname,relname,n_live_tup
public,mdl_logstore_standard_log,82
public,mdl_gradingform_rubric_levels,50
public,mdl_assign_plugin_config,30
public,mdl_files,18
public,mdl_sessions,15
public,mdl_grade_items_history,13
public,mdl_context,12
public,mdl_course_sections,11
public,mdl_gradingform_rubric_criteria,10
public,mdl_gradingform_rubric_fillings,10
public,mdl_grade_grades_history,6
public,mdl_course_modules,5
public,mdl_editor_atto_autosave,5
public,mdl_grade_items,4
public,mdl_block_instances,4
public,mdl_grade_grades,4
public,mdl_user_lastaccess,4
public,mdl_grading_areas,3
public,mdl_assign,3
public,mdl_block_recent_activity,3
public,mdl_course_format_options,3
public,mdl_assign_submission,3
public,mdl_course,3
public,mdl_enrol,3
public,mdl_backup_controllers,3
public,mdl_role_assignments,3
public,mdl_grading_definitions,2
public,mdl_grading_instances,2
public,mdl_user_enrolments,2
public,mdl_grade_categories_history,2
public,mdl_event,2
public,mdl_assign_user_mapping,1
public,mdl_assignsubmission_onlinetext,1
public,mdl_cache_flags,1
public,mdl_forum,1
public,mdl_user_preferences,1
public,mdl_grade_categories,1
public,mdl_message_read,1
public,mdl_assign_user_flags,1
public,mdl_assignfeedback_comments,1
public,mdl_grade_settings,1
public,mdl_assignfeedback_editpdf_queue,1
public,mdl_label,1
public,mdl_assign_grades,1
public,mdl_stats_daily,0
public,mdl_workshopform_numerrors,0
public,mdl_badge_backpack,0
public,mdl_qtype_multichoice_options,0
public,mdl_glossary_entries_categories,0
public,mdl_mnet_service2rpc,0
public,mdl_task_adhoc,0
public,mdl_quiz_attempts,0
public,mdl_message_working,0
public,mdl_external_services_users,0
public,mdl_enrol_lti_lti2_context,0
public,mdl_assignment_upgrade,0
public,mdl_question_answers,0
public,mdl_mnet_host2service,0
public,mdl_folder,0
public,mdl_scorm_seq_rolluprulecond,0
public,mdl_user,0
public,mdl_grade_import_values,0
public,mdl_groupings_groups,0
public,mdl_question_numerical,0
public,mdl_stats_weekly,0
public,mdl_mnet_remote_service2rpc,0
public,mdl_wiki_pages,0
public,mdl_competency_usercompplan,0
public,mdl_badge_criteria_param,0
public,mdl_mnet_remote_rpc,0
public,mdl_role_allow_override,0
public,mdl_quiz_feedback,0
public,mdl_events_queue_handlers,0
public,mdl_question_numerical_units,0
public,mdl_lti_types_config,0
public,mdl_tool_monitor_events,0
public,mdl_blog_external,0
public,mdl_glossary_alias,0
public,mdl_lesson_branch,0
public,mdl_workshopform_rubric_config,0
public,mdl_question_dataset_items,0
public,mdl_block_positions,0
public,mdl_competency_templatecomp,0
public,mdl_assignfeedback_editpdf_quick,0
public,mdl_capabilities,0
public,mdl_assignment_submissions,0
public,mdl_registration_hubs,0
public,mdl_messageinbound_messagelist,0
public,mdl_blog_association,0
public,mdl_question_dataset_definitions,0
public,mdl_tool_cohortroles,0
public,mdl_log_display,0
public,mdl_survey,0
public,mdl_competency,0
public,mdl_modules,0
public,mdl_question_calculated,0
public,mdl_imscp,0
public,mdl_lock_db,0
public,mdl_mnetservice_enrol_enrolments,0
public,mdl_scale,0
public,mdl_enrol_lti_lti2_share_key,0
public,mdl_data_content,0
public,mdl_scorm_seq_mapinfo,0
public,mdl_log_queries,0
public,mdl_glossary_formats,0
public,mdl_message_airnotifier_devices,0
public,mdl_user_info_field,0
public,mdl_competency_plancomp,0
public,mdl_tool_monitor_subscriptions,0
public,mdl_cache_filters,0
public,mdl_workshopallocation_scheduled,0
public,mdl_workshop_assessments,0
public,mdl_role_names,0
public,mdl_role_context_levels,0
public,mdl_resource,0
public,mdl_grade_outcomes_courses,0
public,mdl_external_functions,0
public,mdl_mnet_session,0
public,mdl_scorm_scoes_track,0
public,mdl_question,0
public,mdl_badge_manual_award,0
public,mdl_enrol_lti_lti2_tool_proxy,0
public,mdl_portfolio_mahara_queue,0
public,mdl_workshop_old,0
public,mdl_workshop_submissions,0
public,mdl_wiki_links,0
public,mdl_course_request,0
public,mdl_competency_userevidencecomp,0
public,mdl_scorm,0
public,mdl_competency_template,0
public,mdl_assignment,0
public,mdl_question_response_analysis,0
public,mdl_enrol_paypal,0
public,mdl_quiz_overview_regrades,0
public,mdl_question_datasets,0
public,mdl_user_private_key,0
public,mdl_external_services_functions,0
public,mdl_qtype_ddimageortext_drags,0
public,mdl_page,0
public,mdl_user_password_resets,0
